county_name,mean temp (2000),mean temp (2010),mean temp (2020),mean precip (2000),mean precip (2010),mean precip (2020),mean snow (2000),mean snow (2010),mean snow (2020)
Boone,287.70356296328157,287.8861193024209,288.43356258298985,0.08694283139413674,0.08643121523661439,0.10134742104709707,0.003578916137304059,0.0031426946781170323,0.002086771098621756
Independence,289.00599290304376,289.11503794781896,289.64513664454597,0.09371077632077146,0.09548389843930255,0.11125495035479306,0.002096026396296173,0.002419512270924477,0.0014497858112696178
Mississippi,289.3155869613324,289.4762698861926,289.99091646416736,0.09745176533160153,0.09794057704400481,0.1117439845911144,0.0014688131440105045,0.002154164127690513,0.0011816602564805752
Washington,287.8627126028174,288.0455224296476,288.5791626082298,0.09629473239958973,0.09094961096018557,0.11126913401830549,0.003204565849005971,0.0031251897837719046,0.0017074312808850192
Benton,287.86068933227165,288.02610026076195,288.5642499712923,0.09206335098686223,0.08826662148701567,0.1072380477052355,0.0035841311606599115,0.0033266077326605708,0.0018037080738160618
Madison,287.37815867736265,287.576689911063,288.1198764346334,0.09467594325825962,0.09025504756381107,0.1080694161121698,0.0034477703147970445,0.0032912554043463675,0.00210639030092558
Crawford,288.5506275782362,288.74338593567103,289.2856802690968,0.10495983573369311,0.09792724705462531,0.11922343100356123,0.002210906265713387,0.002486338663380515,0.0011916739436608037
Sebastian,289.56394949469006,289.80825515369963,290.3472402196135,0.09285621818626247,0.08741425708159845,0.10617166801595267,0.0015975790209484424,0.00213183867485679,0.0010156786436026485
Hot Spring,290.2279977687989,290.38727246683953,290.97552908930936,0.09982633033917965,0.10374862304356822,0.11770976916061583,0.0011909203019937397,0.0013121528102598029,7.696264909462776E-4
Garland,289.7814683005442,289.9195403464512,290.52794870704537,0.09836760910036739,0.10116588124989848,0.11285155128269073,0.001524761824199774,0.0017188150297766192,9.698616810818146E-4
Craighead,289.2320685020764,289.3739649630982,289.86652477276584,0.0950842033529977,0.09652234108587456,0.11226874103533992,0.0016639064998391542,0.002323855210189093,0.001306280765089706
Poinsett,289.5111768308197,289.6770209359636,290.1441777588144,0.09703581778303892,0.0969490905949871,0.11353843135149921,0.0014277569430086452,0.0020882208454732973,0.001120598365422266
Greene,288.9373379721587,289.07523632742954,289.59055635264644,0.0949665461921247,0.09668237172431124,0.11302433696676398,0.001933481697506163,0.002507775679469082,0.0015070092967976055
Lincoln,290.8237441973454,290.9713004364507,291.56694556397053,0.10686324320217233,0.10492263171550124,0.12231321432825294,7.697432476812412E-4,9.847731657629635E-4,7.794368212319595E-4
Jefferson,290.6203951950403,290.79775225867655,291.3390139550978,0.10091701006761403,0.10314140579525372,0.1204304731810488,9.765586063469614E-4,0.001121323977746926,7.842578417644524E-4
Lonoke,290.22016829225635,290.3884563583532,290.9066285237083,0.09799607339443982,0.10177648429976063,0.11868636603594379,0.0011511561602521212,0.001460621510954717,7.683750858631229E-4
Cleveland,290.92677592872866,291.06455442798745,291.6870371606942,0.10824805781974281,0.10799682711895749,0.1254586349910903,8.912698858911091E-4,9.700714335339064E-4,7.986132406646427E-4
Pulaski,290.0185598486915,290.20153118901277,290.7198567880692,0.09787291583882551,0.10072765776679585,0.1154397125061259,0.0013005309851704726,0.0016017033376592796,8.051526047052256E-4
Grant,290.50949764130786,290.6798420517488,291.2548331266859,0.09947997102106944,0.102896739808218,0.11793147935566502,0.0011119764100980254,0.0012067282875047505,8.040009719777721E-4
Saline,289.8869057747596,290.05427571096146,290.62252878042256,0.09882216233460266,0.10183613706182765,0.11443233955454489,0.0014378933531940864,0.001650505130190071,9.144013399662537E-4
Perry,289.6858352663901,289.85460826156395,290.443824177525,0.09734264613308094,0.09846584385194757,0.10971208788414884,0.0014895900716909213,0.0019228803200811218,0.0010023546071146227
Faulkner,289.4575386294401,289.62154708570944,290.1514278009179,0.09908492453570596,0.10175351028083741,0.11580502413189903,0.001405115950425776,0.0018746224151329142,8.981128182979478E-4
White,289.55454793308826,289.6941248869099,290.20038764341655,0.09909637305948929,0.10307863385864459,0.11936398216399795,0.0014498658078014545,0.0019691371823887735,0.0010169456925079874
St. Francis,290.06712245156456,290.21590370410155,290.74947072594324,0.1022657376776408,0.0997441143247303,0.11794018755075665,0.0010546332030548704,0.0014867414957072179,8.258927978211084E-4
Crittenden,289.81079606166884,289.99168110381964,290.49302335290054,0.1026703035711857,0.09860092968545472,0.11501118444687494,0.0011154304517050268,0.0015763106661800502,9.120995813514536E-4
Desha,290.99442358230704,291.13439390878403,291.7613639417991,0.11049840286542593,0.10497886715117576,0.11910911075769809,6.339714641610475E-4,8.285540281669333E-4,6.807048245726965E-4
Arkansas,290.6490289526967,290.79528147870815,291.3946865456043,0.10474489957530599,0.10299554553694304,0.11930890922009776,8.194133000893248E-4,0.0010303479286769045,7.566460163515947E-4
Monroe,290.4047742518928,290.56161294747045,291.12838916861375,0.10138757348262431,0.10100512655220677,0.11829189224434113,9.337423793940116E-4,0.0012066065926131892,7.539137107595041E-4
Drew,291.18181348371394,291.29908984495177,291.92845916961653,0.10978555073298155,0.10736513735000071,0.12458753536652822,6.144566861402494E-4,7.562053572293225E-4,6.641769620156398E-4
Ashley,291.5380153236047,291.67676627895014,292.2904317513116,0.1101705380661284,0.10623631233297286,0.12494731852425954,4.681798701207885E-4,5.488215208947911E-4,4.719971756681089E-4
Prairie,290.2390263187239,290.40458595020516,290.9327463810321,0.09742623788591316,0.09961676899464017,0.11806373789363023,0.0010717535909886163,0.0014279932519773756,7.68329441156991E-4
Dallas,290.81078554560594,290.9630331784163,291.5538577556087,0.10616677384609155,0.10856254851007632,0.12426442078155304,0.0010004469284431948,0.001003849150400673,7.537423661571394E-4
Bradley,291.3204593737782,291.4383834667172,292.0645315588765,0.10917157896195766,0.10744876075013052,0.12697904746168398,6.562397406546226E-4,7.453259327353415E-4,6.492196090653575E-4
Lafayette,291.41852817510136,291.63740147980667,292.18117821089584,0.10745974307692897,0.09994350454031037,0.11810769755522116,8.128470878706174E-4,8.172069752210939E-4,5.863565785817349E-4
Pike,290.1159643835586,290.23179633360786,290.87239421082944,0.10638830509246616,0.10898489753663967,0.12472735471693612,0.0012095831725898634,0.001285302704211135,7.040100573858786E-4
Montgomery,289.4909480575917,289.6149603128943,290.26409958531514,0.09907423219005654,0.10162375341031099,0.1123454063364712,0.0016543324636704108,0.0018102729075967323,0.0010566878410089321
Howard,290.199971283109,290.3328876251724,290.9522706841171,0.10738235768407418,0.10801268033961192,0.12655863778256912,0.001176444560485101,0.001239482537059523,6.505573827654745E-4
Sevier,290.50924647611134,290.6611959902467,291.25272424364505,0.10626317211149083,0.10610494010795032,0.12653365944324083,0.001086882078550512,0.0011172558135570713,5.574761813413728E-4
Polk,289.1604055677147,289.30116372343264,289.92192394463285,0.10051487594560592,0.10218048551577387,0.11605584371210524,0.0017642409331469207,0.0018843277263913298,0.0010802800032364156
Logan,289.30160609769433,289.522911326894,290.093367327408,0.10079693352567719,0.09639125578245213,0.11274746670092584,0.001565602414396062,0.002103156178363595,0.0010901290027215248
Franklin,288.55546423084684,288.7699002522581,289.33580108613836,0.10256082434131542,0.09681084535940142,0.115834352827691,0.001966470477422286,0.002325478521740491,0.0011875527873766614
Johnson,288.04483076069175,288.22170726065815,288.8206535080325,0.10448345883236958,0.10290628750796964,0.11673782058478274,0.0021617839149017893,0.0024184220570799414,0.001403567139019072
Conway,289.201790077818,289.34852103636734,289.93414818605146,0.10132117883236394,0.10343462781308344,0.1158316045038377,0.0015201918178227446,0.002020424530985012,9.978650037970338E-4
Van Buren,288.21509919148855,288.3502281935482,288.9160392688885,0.09995206665414069,0.10270968838899709,0.11516160421193482,0.0022820386025892226,0.0024705013392456836,0.001534093059921706
Searcy,287.95470023970097,288.1292684804052,288.68498062563305,0.0893652963078511,0.09155483756283955,0.1018688146143141,0.0031123631387442153,0.0028942764436758984,0.002075976502074674
Marion,288.1420080907251,288.31223264177845,288.8650280420934,0.08378871583838539,0.08567496735581716,0.09694403983797951,0.0031120231805346903,0.002921856107658016,0.001820825391914574
Fulton,288.0709146602161,288.16678776635064,288.7607013643767,0.08928927085082186,0.09287310506690562,0.10526496625719721,0.0029238257079794647,0.0027486733532392222,0.0018741021961930894
Izard,288.4634955147923,288.5664294862609,289.1448109219337,0.08856196484036054,0.09143999137993851,0.10365855354882762,0.00272366929872368,0.0026590460025475472,0.0017020344006231432
Sharp,288.49773276003765,288.5912975807082,289.15134146829695,0.09179175884766182,0.0951982276046364,0.11062903116181441,0.002578308540442353,0.0025765439162409773,0.0016940767110653245
Randolph,288.49313596942955,288.6148841498683,289.16016357968584,0.0923142027729748,0.09495540850935144,0.11207650830245938,0.002521004416007437,0.0025949886833397913,0.0017579652462245939
Lawrence,288.9273408879907,289.04217343203,289.54843991707224,0.0931874636007892,0.09505493518011744,0.11297501241822253,0.002123685172998774,0.002447176446930965,0.0015396569792214424
Stone,288.32863771360854,288.4551132118309,289.0178635368764,0.09169484492686816,0.09401379869081912,0.10509349311847345,0.0027107801351943126,0.002668397199834536,0.0017705817336612715
Cleburne,288.7290891657541,288.85458552080377,289.3817490539875,0.09538746903562581,0.09837608803356224,0.11244068990622907,0.001998778514872079,0.0022905021403052035,0.0013479242274098708
Woodruff,289.93458844703866,290.09367409352217,290.5819519777022,0.0959150008115976,0.09758846759693544,0.11537273578280781,0.0012347308310973067,0.0017951968096661913,8.968328616357869E-4
Jackson,289.4447343874166,289.5931784173019,290.06677500639364,0.09412446964753111,0.09495164099625893,0.11252509766985105,0.0016271782363543202,0.0021882135151656316,0.001210362290662945
Cross,289.77119690753443,289.93455200666017,290.4185468893158,0.0995616312709411,0.09821815455478222,0.11580344445619689,0.0012335935300392875,0.0018352089681069148,9.554153947974913E-4
Lee,290.26605983090184,290.41018218942185,290.97424651386154,0.10417256964999169,0.10066561942413603,0.11846702742511817,9.298273734107243E-4,0.0011755048165723043,7.571181048508346E-4
Clay,288.6394073053776,288.79843804156116,289.3311760493526,0.09492166122468398,0.09593802051252158,0.11271683551979106,0.0022217583230122254,0.002602854826476966,0.001615131925800344
Chicot,291.4817266712729,291.64662438666403,292.257586524184,0.108449887014216,0.10287947697072407,0.11998436447031308,4.2383096049306387E-4,5.156239199636857E-4,4.336639158852249E-4
Carroll,287.6149238283744,287.80993497660234,288.3399216340878,0.08611091349658381,0.08257636755344883,0.1012374146042782,0.0036686960717004385,0.003297529452245723,0.00212333979762163
Scott,289.2799214746294,289.4813101260377,290.08012017970873,0.09419831441215673,0.09301084019153932,0.10621562600142054,0.0019156698172591246,0.0022885148739819785,0.0013000785211248439
