Date,Year,Month,Precip
1915-07,1915,7,1.39
1915-08,1915,8,10.23
1915-09,1915,9,1.08
1915-10,1915,10,2.39
1915-11,1915,11,5.9
1915-12,1915,12,5.55
1916-01,1916,1,8.95
1916-02,1916,2,2.03
1916-03,1916,3,1.97
1916-04,1916,4,2.84
1916-05,1916,5,3.31
1916-06,1916,6,3.41
1916-07,1916,7,2.28
1916-08,1916,8,3.31
1916-09,1916,9,2.55
1916-10,1916,10,2.87
1916-11,1916,11,2.39
1916-12,1916,12,2.82
1917-01,1917,1,2.95
1917-02,1917,2,1.73
1917-03,1917,3,6.4
1917-04,1917,4,4.39
1917-05,1917,5,3.08
1917-06,1917,6,4.46
1917-07,1917,7,4.48
1917-08,1917,8,4.21
1917-09,1917,9,0.86
1917-10,1917,10,2.08
1917-11,1917,11,1.92
1917-12,1917,12,1.29
1918-01,1918,1,5.3
1918-02,1918,2,0.99
1918-03,1918,3,1.3
1918-04,1918,4,8.74
1918-05,1918,5,1.71
1918-06,1918,6,5.12
1918-07,1918,7,1.07
1918-08,1918,8,2.47
1918-09,1918,9,4.57
1918-10,1918,10,4.16
1918-11,1918,11,3.49
1918-12,1918,12,6.83
1919-01,1919,1,2.87
1919-02,1919,2,3.45
1919-03,1919,3,6.41
1919-04,1919,4,3.88
1919-05,1919,5,5.53
1919-06,1919,6,3.48
1919-07,1919,7,2.03
1919-08,1919,8,3.68
1919-09,1919,9,2.93
1919-10,1919,10,13.1
1919-11,1919,11,7.9
1919-12,1919,12,2.65
1920-01,1920,1,7.96
1920-02,1920,2,1.17
1920-03,1920,3,5.07
1920-04,1920,4,6.59
1920-05,1920,5,8.18
1920-06,1920,6,4.01
1920-07,1920,7,3.58
1920-08,1920,8,3.81
1920-09,1920,9,3.02
1920-10,1920,10,3.72
1920-11,1920,11,1.6
1920-12,1920,12,7.06
1921-01,1921,1,1.57
1921-02,1921,2,5.56
1921-03,1921,3,7.19
1921-04,1921,4,7.93
1921-05,1921,5,1.91
1921-06,1921,6,4.32
1921-07,1921,7,2.01
1921-08,1921,8,6.56
1921-09,1921,9,2.89
1921-10,1921,10,0.49
1921-11,1921,11,4.59
1921-12,1921,12,2.91
1922-01,1922,1,2.04
1922-02,1922,2,3.71
1922-03,1922,3,8.95
1922-04,1922,4,4.19
1922-05,1922,5,4.91
1922-06,1922,6,2.33
1922-07,1922,7,3.19
1922-08,1922,8,1.18
1922-09,1922,9,1.14
1922-10,1922,10,1.09
1922-11,1922,11,2.74
1922-12,1922,12,3.95
1923-01,1923,1,6.6
1923-02,1923,2,5.9
1923-03,1923,3,5.17
1923-04,1923,4,7.75
1923-05,1923,5,9.68
1923-06,1923,6,4.83
1923-07,1923,7,5.95
1923-08,1923,8,2.46
1923-09,1923,9,4.47
1923-10,1923,10,2.84
1923-11,1923,11,2.95
1923-12,1923,12,5.6
1924-01,1924,1,3.28
1924-02,1924,2,1.71
1924-03,1924,3,3.02
1924-04,1924,4,5.34
1924-05,1924,5,4.61
1924-06,1924,6,3.3
1924-07,1924,7,1.77
1924-08,1924,8,2.17
1924-09,1924,9,5.13
1924-10,1924,10,0.12
1924-11,1924,11,2.54
1924-12,1924,12,3.95
1925-01,1925,1,1.71
1925-02,1925,2,3.81
1925-03,1925,3,0.97
1925-04,1925,4,1.53
1925-05,1925,5,1.63
1925-06,1925,6,2.14
1925-07,1925,7,5.38
1925-08,1925,8,1.22
1925-09,1925,9,4.72
1925-10,1925,10,6.7
1925-11,1925,11,5.49
1925-12,1925,12,1.39
1926-01,1926,1,4.73
1926-02,1926,2,2.86
1926-03,1926,3,5.55
1926-04,1926,4,2.91
1926-05,1926,5,1.73
1926-06,1926,6,1.73
1926-07,1926,7,3.14
1926-08,1926,8,4.4
1926-09,1926,9,3.22
1926-10,1926,10,4.84
1926-11,1926,11,3.31
1926-12,1926,12,8.79
1927-01,1927,1,4.93
1927-02,1927,2,2.7
1927-03,1927,3,7.51
1927-04,1927,4,14.16
1927-05,1927,5,6.72
1927-06,1927,6,6
1927-07,1927,7,2.11
1927-08,1927,8,7.53
1927-09,1927,9,2.54
1927-10,1927,10,2.04
1927-11,1927,11,3.64
1927-12,1927,12,3.67
1928-01,1928,1,1.65
1928-02,1928,2,2.29
1928-03,1928,3,2.11
1928-04,1928,4,7.92
1928-05,1928,5,3.5
1928-06,1928,6,7.61
1928-07,1928,7,3.2
1928-08,1928,8,4.66
1928-09,1928,9,0.57
1928-10,1928,10,4.02
1928-11,1928,11,3.36
1928-12,1928,12,5.33
1929-01,1929,1,4.33
1929-02,1929,2,2.94
1929-03,1929,3,4.27
1929-04,1929,4,5.21
1929-05,1929,5,5.8
1929-06,1929,6,4.05
1929-07,1929,7,1.74
1929-08,1929,8,1.47
1929-09,1929,9,1.69
1929-10,1929,10,4.6
1929-11,1929,11,2.38
1929-12,1929,12,3.92
1930-01,1930,1,11.25
1930-02,1930,2,4.34
1930-03,1930,3,2.05
1930-04,1930,4,0.61
1930-05,1930,5,10.83
1930-06,1930,6,0.22
1930-07,1930,7,0.31
1930-08,1930,8,1.5
1930-09,1930,9,3.39
1930-10,1930,10,4.08
1930-11,1930,11,3.06
1930-12,1930,12,2.45
1931-01,1931,1,0.99
1931-02,1931,2,4.34
1931-03,1931,3,4.45
1931-04,1931,4,2.37
1931-05,1931,5,3.94
1931-06,1931,6,2.51
1931-07,1931,7,5.25
1931-08,1931,8,3.96
1931-09,1931,9,0.68
1931-10,1931,10,1.9
1931-11,1931,11,8.02
1931-12,1931,12,9.77
1932-01,1932,1,10.47
1932-02,1932,2,4.84
1932-03,1932,3,5.03
1932-04,1932,4,2.13
1932-05,1932,5,2.72
1932-06,1932,6,4.19
1932-07,1932,7,6.43
1932-08,1932,8,1.39
1932-09,1932,9,2.49
1932-10,1932,10,3.43
1932-11,1932,11,1.64
1932-12,1932,12,7.29
1933-01,1933,1,3.43
1933-02,1933,2,2.73
1933-03,1933,3,5.22
1933-04,1933,4,4.97
1933-05,1933,5,5.99
1933-06,1933,6,1.12
1933-07,1933,7,4.61
1933-08,1933,8,3.69
1933-09,1933,9,5.37
1933-10,1933,10,1.84
1933-11,1933,11,1.9
1933-12,1933,12,5.06
1934-01,1934,1,2.78
1934-02,1934,2,1.48
1934-03,1934,3,7.05
1934-04,1934,4,5.13
1934-05,1934,5,2.96
1934-06,1934,6,3.1
1934-07,1934,7,2.05
1934-08,1934,8,2.52
1934-09,1934,9,4.43
1934-10,1934,10,0.72
1934-11,1934,11,5.89
1934-12,1934,12,5.4
1935-01,1935,1,5.98
1935-02,1935,2,2.31
1935-03,1935,3,7.14
1935-04,1935,4,4.09
1935-05,1935,5,9.91
1935-06,1935,6,6.23
1935-07,1935,7,2.18
1935-08,1935,8,2.07
1935-09,1935,9,3.25
1935-10,1935,10,4.28
1935-11,1935,11,2.96
1935-12,1935,12,2.51
1936-01,1936,1,0.87
1936-02,1936,2,1.53
1936-03,1936,3,2.31
1936-04,1936,4,2.94
1936-05,1936,5,1.45
1936-06,1936,6,1.24
1936-07,1936,7,6.9
1936-08,1936,8,0.28
1936-09,1936,9,2.54
1936-10,1936,10,4.62
1936-11,1936,11,3.56
1936-12,1936,12,5.32
1937-01,1937,1,15.91
1937-02,1937,2,2.03
1937-03,1937,3,2.54
1937-04,1937,4,2.37
1937-05,1937,5,3.32
1937-06,1937,6,4.56
1937-07,1937,7,2.29
1937-08,1937,8,4.19
1937-09,1937,9,4.92
1937-10,1937,10,5.02
1937-11,1937,11,4.56
1937-12,1937,12,3.9
1938-01,1938,1,8.63
1938-02,1938,2,5.55
1938-03,1938,3,6.77
1938-04,1938,4,4.82
1938-05,1938,5,3.3
1938-06,1938,6,3.42
1938-07,1938,7,3.62
1938-08,1938,8,2.88
1938-09,1938,9,1.33
1938-10,1938,10,0.99
1938-11,1938,11,6.49
1938-12,1938,12,3.36
1939-01,1939,1,6.97
1939-02,1939,2,8.7
1939-03,1939,3,3.27
1939-04,1939,4,8.33
1939-05,1939,5,5.8
1939-06,1939,6,4.37
1939-07,1939,7,3.07
1939-08,1939,8,2.91
1939-09,1939,9,2.45
1939-10,1939,10,1.02
1939-11,1939,11,3.24
1939-12,1939,12,2.99
1940-01,1940,1,1.49
1940-02,1940,2,3.37
1940-03,1940,3,1.86
1940-04,1940,4,6.2
1940-05,1940,5,3.4
1940-06,1940,6,3.07
1940-07,1940,7,3.04
1940-08,1940,8,4.22
1940-09,1940,9,2.16
1940-10,1940,10,1.94
1940-11,1940,11,6.09
1940-12,1940,12,3.34
1941-01,1941,1,2.83
1941-02,1941,2,2.77
1941-03,1941,3,1.8
1941-04,1941,4,5.26
1941-05,1941,5,2.89
1941-06,1941,6,4.82
1941-07,1941,7,5.63
1941-08,1941,8,3.59
1941-09,1941,9,2.77
1941-10,1941,10,7.02
1941-11,1941,11,1.73
1941-12,1941,12,4.45
1942-01,1942,1,3.57
1942-02,1942,2,3.38
1942-03,1942,3,4.4
1942-04,1942,4,10.53
1942-05,1942,5,3.44
1942-06,1942,6,3.7
1942-07,1942,7,0.92
1942-08,1942,8,6.03
1942-09,1942,9,2.12
1942-10,1942,10,3.02
1942-11,1942,11,3.15
1942-12,1942,12,4.82
1943-01,1943,1,0.92
1943-02,1943,2,0.9
1943-03,1943,3,6.85
1943-04,1943,4,4.05
1943-05,1943,5,5.19
1943-06,1943,6,2.81
1943-07,1943,7,1.3
1943-08,1943,8,0.58
1943-09,1943,9,2.47
1943-10,1943,10,3.78
1943-11,1943,11,0.97
1943-12,1943,12,3.42
1944-01,1944,1,2.08
1944-02,1944,2,6.89
1944-03,1944,3,6.67
1944-04,1944,4,7.8
1944-05,1944,5,6.28
1944-06,1944,6,1.96
1944-07,1944,7,3.35
1944-08,1944,8,3.8
1944-09,1944,9,1.33
1944-10,1944,10,0.4
1944-11,1944,11,5.82
1944-12,1944,12,9.04
1945-01,1945,1,2.59
1945-02,1945,2,7.58
1945-03,1945,3,9.05
1945-04,1945,4,6.94
1945-05,1945,5,6.09
1945-06,1945,6,7.96
1945-07,1945,7,4.35
1945-08,1945,8,3.29
1945-09,1945,9,8.48
1945-10,1945,10,2.88
1945-11,1945,11,4.93
1945-12,1945,12,2.33
1946-01,1946,1,7.92
1946-02,1946,2,3.87
1946-03,1946,3,7.21
1946-04,1946,4,5.92
1946-05,1946,5,9
1946-06,1946,6,1.75
1946-07,1946,7,3.54
1946-08,1946,8,1.05
1946-09,1946,9,1.21
1946-10,1946,10,2.26
1946-11,1946,11,8.25
1946-12,1946,12,3.51
1947-01,1947,1,2.13
1947-02,1947,2,0.38
1947-03,1947,3,2.35
1947-04,1947,4,5.69
1947-05,1947,5,6.05
1947-06,1947,6,4.69
1947-07,1947,7,0.97
1947-08,1947,8,1.37
1947-09,1947,9,3.34
1947-10,1947,10,4.64
1947-11,1947,11,6.36
1947-12,1947,12,3.39
1948-01,1948,1,3.3
1948-02,1948,2,7.23
1948-03,1948,3,6.34
1948-04,1948,4,4.53
1948-05,1948,5,5.5
1948-06,1948,6,3.73
1948-07,1948,7,4.31
1948-08,1948,8,4
1948-09,1948,9,0.65
1948-10,1948,10,1.92
1948-11,1948,11,8.25
1948-12,1948,12,3.64
1949-01,1949,1,11.6
1949-02,1949,2,3.43
1949-03,1949,3,6.88
1949-04,1949,4,2.7
1949-05,1949,5,3.91
1949-06,1949,6,5.86
1949-07,1949,7,3.99
1949-08,1949,8,4.26
1949-09,1949,9,2.78
1949-10,1949,10,9.95
1949-11,1949,11,0.43
1949-12,1949,12,5.56
1950-01,1950,1,11.14
1950-02,1950,2,8.73
1950-03,1950,3,4.62
1950-04,1950,4,3.01
1950-05,1950,5,8.47
1950-06,1950,6,2.45
1950-07,1950,7,5.05
1950-08,1950,8,7.53
1950-09,1950,9,6.62
1950-10,1950,10,1.75
1950-11,1950,11,2.97
1950-12,1950,12,1.58
1951-01,1951,1,4.73
1951-02,1951,2,4.49
1951-03,1951,3,2.11
1951-04,1951,4,4.39
1951-05,1951,5,1.88
1951-06,1951,6,4.43
1951-07,1951,7,7.54
1951-08,1951,8,2.43
1951-09,1951,9,4.26
1951-10,1951,10,2.91
1951-11,1951,11,5.75
1951-12,1951,12,4.84
1952-01,1952,1,3.83
1952-02,1952,2,4.71
1952-03,1952,3,5.04
1952-04,1952,4,5.84
1952-05,1952,5,4.49
1952-06,1952,6,0.07
1952-07,1952,7,2.81
1952-08,1952,8,2.55
1952-09,1952,9,2.68
1952-10,1952,10,0.79
1952-11,1952,11,8.09
1952-12,1952,12,5.21
1953-01,1953,1,4.51
1953-02,1953,2,4.17
1953-03,1953,3,7.69
1953-04,1953,4,8.01
1953-05,1953,5,7.53
1953-06,1953,6,0.51
1953-07,1953,7,3.31
1953-08,1953,8,1.62
1953-09,1953,9,1.1
1953-10,1953,10,1.07
1953-11,1953,11,1.98
1953-12,1953,12,3.3
1954-01,1954,1,6.8
1954-02,1954,2,3.02
1954-03,1954,3,1.83
1954-04,1954,4,3.66
1954-05,1954,5,6.85
1954-06,1954,6,1.26
1954-07,1954,7,1.33
1954-08,1954,8,0.78
1954-09,1954,9,1.57
1954-10,1954,10,4.1
1954-11,1954,11,1.14
1954-12,1954,12,4.52
1955-01,1955,1,1.5
1955-02,1955,2,4.1
1955-03,1955,3,6.07
1955-04,1955,4,4.23
1955-05,1955,5,8.53
1955-06,1955,6,3.28
1955-07,1955,7,3.18
1955-08,1955,8,2.7
1955-09,1955,9,2.89
1955-10,1955,10,2.89
1955-11,1955,11,1.86
1955-12,1955,12,1.62
1956-01,1956,1,5.05
1956-02,1956,2,10.57
1956-03,1956,3,3.02
1956-04,1956,4,4.72
1956-05,1956,5,3.75
1956-06,1956,6,4.2
1956-07,1956,7,3.57
1956-08,1956,8,1.65
1956-09,1956,9,1.41
1956-10,1956,10,3.53
1956-11,1956,11,4.56
1956-12,1956,12,3.2
1957-01,1957,1,6.64
1957-02,1957,2,4.8
1957-03,1957,3,4.3
1957-04,1957,4,12.84
1957-05,1957,5,10.62
1957-06,1957,6,4
1957-07,1957,7,4.58
1957-08,1957,8,6.37
1957-09,1957,9,3.33
1957-10,1957,10,5.54
1957-11,1957,11,9.4
1957-12,1957,12,3.82
1958-01,1958,1,3.85
1958-02,1958,2,1.33
1958-03,1958,3,5.25
1958-04,1958,4,7.46
1958-05,1958,5,7.99
1958-06,1958,6,6.53
1958-07,1958,7,3.89
1958-08,1958,8,3.25
1958-09,1958,9,6.4
1958-10,1958,10,1.22
1958-11,1958,11,5.25
1958-12,1958,12,1.1
1959-01,1959,1,3.08
1959-02,1959,2,6.78
1959-03,1959,3,4.16
1959-04,1959,4,2.9
1959-05,1959,5,2.51
1959-06,1959,6,5.68
1959-07,1959,7,5.28
1959-08,1959,8,2.58
1959-09,1959,9,6.34
1959-10,1959,10,2.47
1959-11,1959,11,2.4
1959-12,1959,12,8.16
1960-01,1960,1,4.34
1960-02,1960,2,3.93
1960-03,1960,3,3.69
1960-04,1960,4,1.5
1960-05,1960,5,5.51
1960-06,1960,6,7.43
1960-07,1960,7,2.51
1960-08,1960,8,1.75
1960-09,1960,9,4.25
1960-10,1960,10,2.97
1960-11,1960,11,2.42
1960-12,1960,12,4.48
1961-01,1961,1,1.29
1961-02,1961,2,3.78
1961-03,1961,3,9.22
1961-04,1961,4,4.13
1961-05,1961,5,6.72
1961-06,1961,6,2.43
1961-07,1961,7,4
1961-08,1961,8,4.09
1961-09,1961,9,2.46
1961-10,1961,10,0.56
1961-11,1961,11,6.84
1961-12,1961,12,6.52
1962-01,1962,1,5.68
1962-02,1962,2,7.23
1962-03,1962,3,4.41
1962-04,1962,4,2.64
1962-05,1962,5,1.59
1962-06,1962,6,5.54
1962-07,1962,7,3.5
1962-08,1962,8,2.3
1962-09,1962,9,6.24
1962-10,1962,10,3.95
1962-11,1962,11,1.97
1962-12,1962,12,1.65
1963-01,1963,1,0.79
1963-02,1963,2,1.65
1963-03,1963,3,5.54
1963-04,1963,4,4.11
1963-05,1963,5,2.53
1963-06,1963,6,3.1
1963-07,1963,7,5.6
1963-08,1963,8,1.4
1963-09,1963,9,1.75
1963-10,1963,10,0.01
1963-11,1963,11,5.99
1963-12,1963,12,2.52
1964-01,1964,1,0.69
1964-02,1964,2,3.32
1964-03,1964,3,8.25
1964-04,1964,4,10.87
1964-05,1964,5,2.05
1964-06,1964,6,1.19
1964-07,1964,7,2.98
1964-08,1964,8,4.37
1964-09,1964,9,7.07
1964-10,1964,10,0.47
1964-11,1964,11,4.03
1964-12,1964,12,3.55
1965-01,1965,1,4.82
1965-02,1965,2,5.29
1965-03,1965,3,4.5
1965-04,1965,4,1.38
1965-05,1965,5,5.22
1965-06,1965,6,2.47
1965-07,1965,7,3.2
1965-08,1965,8,2.67
1965-09,1965,9,9.06
1965-10,1965,10,0.28
1965-11,1965,11,1.52
1965-12,1965,12,2.23
1966-01,1966,1,3.94
1966-02,1966,2,4.3
1966-03,1966,3,0.74
1966-04,1966,4,9.31
1966-05,1966,5,3.52
1966-06,1966,6,0.5
1966-07,1966,7,3.52
1966-08,1966,8,10.98
1966-09,1966,9,1.35
1966-10,1966,10,2.99
1966-11,1966,11,2.75
1966-12,1966,12,4.32
1967-01,1967,1,2.07
1967-02,1967,2,2.01
1967-03,1967,3,3.22
1967-04,1967,4,5.5
1967-05,1967,5,9.27
1967-06,1967,6,3.99
1967-07,1967,7,6.24
1967-08,1967,8,2.96
1967-09,1967,9,5.96
1967-10,1967,10,4.5
1967-11,1967,11,1.93
1967-12,1967,12,5.92
1968-01,1968,1,3.87
1968-02,1968,2,1.34
1968-03,1968,3,5.49
1968-04,1968,4,5.05
1968-05,1968,5,13.31
1968-06,1968,6,4.42
1968-07,1968,7,4.04
1968-08,1968,8,2.33
1968-09,1968,9,5.8
1968-10,1968,10,2.7
1968-11,1968,11,4.86
1968-12,1968,12,5.55
1969-01,1969,1,7.73
1969-02,1969,2,2.28
1969-03,1969,3,3.41
1969-04,1969,4,3.2
1969-05,1969,5,3.68
1969-06,1969,6,3.08
1969-07,1969,7,3.23
1969-08,1969,8,2.35
1969-09,1969,9,1.8
1969-10,1969,10,4.11
1969-11,1969,11,4.12
1969-12,1969,12,7.5
1970-01,1970,1,0.93
1970-02,1970,2,3.94
1970-03,1970,3,5.51
1970-04,1970,4,7.91
1970-05,1970,5,2.29
1970-06,1970,6,3.09
1970-07,1970,7,3.46
1970-08,1970,8,3.23
1970-09,1970,9,2.81
1970-10,1970,10,6.59
1970-11,1970,11,2.42
1970-12,1970,12,4.09
1971-01,1971,1,2.27
1971-02,1971,2,3.02
1971-03,1971,3,3.21
1971-04,1971,4,1.98
1971-05,1971,5,4.78
1971-06,1971,6,3.32
1971-07,1971,7,4.43
1971-08,1971,8,6.69
1971-09,1971,9,0.76
1971-10,1971,10,1.95
1971-11,1971,11,3.47
1971-12,1971,12,7.33
1972-01,1972,1,2.05
1972-02,1972,2,1.26
1972-03,1972,3,2.91
1972-04,1972,4,2.28
1972-05,1972,5,2.22
1972-06,1972,6,3.12
1972-07,1972,7,2.62
1972-08,1972,8,2.38
1972-09,1972,9,5.53
1972-10,1972,10,6.4
1972-11,1972,11,8.42
1972-12,1972,12,6.34
1973-01,1973,1,4.86
1973-02,1973,2,3.55
1973-03,1973,3,9.35
1973-04,1973,4,12.16
1973-05,1973,5,4.17
1973-06,1973,6,3.1
1973-07,1973,7,5.04
1973-08,1973,8,1.62
1973-09,1973,9,7.49
1973-10,1973,10,5.27
1973-11,1973,11,9.99
1973-12,1973,12,5.43
1974-01,1974,1,5.07
1974-02,1974,2,2.65
1974-03,1974,3,2.21
1974-04,1974,4,8.57
1974-05,1974,5,4.62
1974-06,1974,6,10.44
1974-07,1974,7,3.18
1974-08,1974,8,4.43
1974-09,1974,9,5.13
1974-10,1974,10,2.97
1974-11,1974,11,7.3
1974-12,1974,12,3.26
1975-01,1975,1,3.5
1975-02,1975,2,5.36
1975-03,1975,3,8.99
1975-04,1975,4,3.82
1975-05,1975,5,6.41
1975-06,1975,6,3.74
1975-07,1975,7,3.58
1975-08,1975,8,2.55
1975-09,1975,9,3.26
1975-10,1975,10,1.45
1975-11,1975,11,3.17
1975-12,1975,12,3.78
1976-01,1976,1,2.43
1976-02,1976,2,3.42
1976-03,1976,3,5.45
1976-04,1976,4,1.98
1976-05,1976,5,5.48
1976-06,1976,6,6.77
1976-07,1976,7,1.8
1976-08,1976,8,1.73
1976-09,1976,9,2.93
1976-10,1976,10,5.85
1976-11,1976,11,1.71
1976-12,1976,12,2.32
1977-01,1977,1,2.99
1977-02,1977,2,2.09
1977-03,1977,3,7.09
1977-04,1977,4,5.09
1977-05,1977,5,2.05
1977-06,1977,6,4.35
1977-07,1977,7,4.44
1977-08,1977,8,2.32
1977-09,1977,9,6.53
1977-10,1977,10,0.69
1977-11,1977,11,8.8
1977-12,1977,12,2.39
1978-01,1978,1,5.32
1978-02,1978,2,1.53
1978-03,1978,3,3.58
1978-04,1978,4,3.98
1978-05,1978,5,6.9
1978-06,1978,6,4.36
1978-07,1978,7,2.06
1978-08,1978,8,5.75
1978-09,1978,9,6.11
1978-10,1978,10,1.12
1978-11,1978,11,7.28
1978-12,1978,12,8.08
1979-01,1979,1,3.7
1979-02,1979,2,5.31
1979-03,1979,3,4.3
1979-04,1979,4,8.82
1979-05,1979,5,11.18
1979-06,1979,6,4.03
1979-07,1979,7,4.26
1979-08,1979,8,4.57
1979-09,1979,9,4.86
1979-10,1979,10,2.71
1979-11,1979,11,3.59
1979-12,1979,12,3.73
1980-01,1980,1,2.58
1980-02,1980,2,1.05
1980-03,1980,3,5.97
1980-04,1980,4,5.84
1980-05,1980,5,5.72
1980-06,1980,6,1.15
1980-07,1980,7,0.88
1980-08,1980,8,0.3
1980-09,1980,9,5.77
1980-10,1980,10,3.28
1980-11,1980,11,5.28
1980-12,1980,12,1.98
1981-01,1981,1,0.87
1981-02,1981,2,3.66
1981-03,1981,3,4.69
1981-04,1981,4,2.51
1981-05,1981,5,9.2
1981-06,1981,6,4.52
1981-07,1981,7,4.57
1981-08,1981,8,2.18
1981-09,1981,9,1.71
1981-10,1981,10,5.65
1981-11,1981,11,1.64
1981-12,1981,12,0.88
1982-01,1982,1,6.14
1982-02,1982,2,2.63
1982-03,1982,3,2.55
1982-04,1982,4,7.84
1982-05,1982,5,4.58
1982-06,1982,6,5.64
1982-07,1982,7,3.03
1982-08,1982,8,2.79
1982-09,1982,9,1.09
1982-10,1982,10,2.91
1982-11,1982,11,8.27
1982-12,1982,12,11.42
1983-01,1983,1,1.13
1983-02,1983,2,3.09
1983-03,1983,3,3.19
