Date,Year,Month,Precip
1906-04,1906,4,2.59
1906-05,1906,5,4.64
1906-06,1906,6,5.02
1906-07,1906,7,4.45
1906-08,1906,8,6.27
1906-09,1906,9,6.27
1906-10,1906,10,2.99
1906-11,1906,11,4.35
1906-12,1906,12,4.7
1907-01,1907,1,6.61
1907-02,1907,2,3.51
1907-03,1907,3,2.59
1907-04,1907,4,5.5
1907-05,1907,5,9.07
1907-06,1907,6,4.36
1907-07,1907,7,1.77
1907-08,1907,8,3.44
1907-09,1907,9,2.1
1907-10,1907,10,3.18
1907-11,1907,11,7.37
1907-12,1907,12,2.11
1908-01,1908,1,4.21
1908-02,1908,2,5.87
1908-03,1908,3,4.13
1908-04,1908,4,6.44
1908-05,1908,5,5.43
1908-06,1908,6,2.72
1908-07,1908,7,3.03
1908-08,1908,8,4.84
1908-09,1908,9,4.24
1908-10,1908,10,0.45
1908-11,1908,11,6.82
1908-12,1908,12,0.86
1909-01,1909,1,2.3
1909-02,1909,2,5.56
1909-03,1909,3,3.46
1909-04,1909,4,4.81
1909-05,1909,5,6.17
1909-06,1909,6,3.97
1909-07,1909,7,2.6
1909-08,1909,8,0.8
1909-09,1909,9,3.22
1909-10,1909,10,1.56
1909-11,1909,11,4.07
1909-12,1909,12,4.78
1910-01,1910,1,2.69
1910-02,1910,2,3.85
1910-03,1910,3,0.9
1910-04,1910,4,5.46
1910-05,1910,5,6.89
1910-06,1910,6,5.54
1910-07,1910,7,7.73
1910-08,1910,8,2.84
1910-09,1910,9,3.52
1910-10,1910,10,6.09
1910-11,1910,11,0.65
1910-12,1910,12,3.64
1911-01,1911,1,0.95
1911-02,1911,2,3.38
1911-03,1911,3,2.08
1911-04,1911,4,11.07
1911-05,1911,5,0.84
1911-06,1911,6,2.59
1911-07,1911,7,5
1911-08,1911,8,8.99
1911-09,1911,9,4.98
1911-10,1911,10,1.76
1911-11,1911,11,4.1
1911-12,1911,12,5.82
1912-01,1912,1,3.61
1912-02,1912,2,2.94
1912-03,1912,3,8.35
1912-04,1912,4,9.3
1912-05,1912,5,2.17
1912-06,1912,6,6.47
1912-07,1912,7,2.41
1912-08,1912,8,2.62
1912-09,1912,9,2.68
1912-10,1912,10,3.67
1912-11,1912,11,1.86
1912-12,1912,12,1.78
1913-01,1913,1,10.71
1913-02,1913,2,3.53
1913-03,1913,3,4.99
1913-04,1913,4,6.37
1913-05,1913,5,2.18
1913-06,1913,6,1.9
1913-07,1913,7,5.19
1913-08,1913,8,1.63
1913-09,1913,9,8.71
1913-10,1913,10,5.89
1913-11,1913,11,2.59
1913-12,1913,12,2.84
1914-01,1914,1,1.56
1914-02,1914,2,3.85
1914-03,1914,3,4.54
1914-04,1914,4,5.43
1914-05,1914,5,1.72
1914-06,1914,6,0.64
1914-07,1914,7,2.79
1914-08,1914,8,7.13
1914-09,1914,9,4.05
1914-10,1914,10,2.2
1914-11,1914,11,1.79
1914-12,1914,12,5.43
1915-01,1915,1,4.32
1915-02,1915,2,4.47
1915-03,1915,3,4.27
1915-04,1915,4,3.66
1915-05,1915,5,6.52
1915-06,1915,6,5.53
1915-07,1915,7,1.72
1915-08,1915,8,13.51
1915-09,1915,9,1.58
1915-10,1915,10,2.73
1915-11,1915,11,6.12
1915-12,1915,12,5.58
1916-01,1916,1,9.5
1916-02,1916,2,1.85
1916-03,1916,3,2.3
1916-04,1916,4,3.39
1916-05,1916,5,3.57
1916-06,1916,6,5.29
1916-07,1916,7,1.44
1916-08,1916,8,2.28
1916-09,1916,9,4.03
1916-10,1916,10,2.16
1916-11,1916,11,3.16
1916-12,1916,12,3.58
1917-01,1917,1,3.53
1917-02,1917,2,1.67
1917-03,1917,3,5.25
1917-04,1917,4,5.49
1917-05,1917,5,3.81
1917-06,1917,6,6
1917-07,1917,7,6.21
1917-08,1917,8,4.29
1917-09,1917,9,1.56
1917-10,1917,10,1.78
1917-11,1917,11,1.74
1917-12,1917,12,1.18
1918-01,1918,1,5.5
1918-02,1918,2,1.09
1918-03,1918,3,1
1918-04,1918,4,8.25
1918-05,1918,5,5.09
1918-06,1918,6,4.25
1918-07,1918,7,1.46
1918-08,1918,8,4.39
1918-09,1918,9,5.31
1918-10,1918,10,3.55
1918-11,1918,11,3.9
1918-12,1918,12,7.39
1919-01,1919,1,2.75
1919-02,1919,2,3.47
1919-03,1919,3,5.2
1919-04,1919,4,3.83
1919-05,1919,5,5.69
1919-06,1919,6,5.96
1919-07,1919,7,2.1
1919-08,1919,8,2.96
1919-09,1919,9,2.83
1919-10,1919,10,10.23
1919-11,1919,11,6.82
1919-12,1919,12,1.79
1920-01,1920,1,6.88
1920-02,1920,2,1.15
1920-03,1920,3,6.08
1920-04,1920,4,5.72
1920-05,1920,5,9.21
1920-06,1920,6,3.09
1920-07,1920,7,4.2
1920-08,1920,8,6.05
1920-09,1920,9,3.3
1920-10,1920,10,3.97
1920-11,1920,11,1.54
1920-12,1920,12,5.69
1921-01,1921,1,1.65
1921-02,1921,2,4.43
1921-03,1921,3,7.44
1921-04,1921,4,7.85
1921-05,1921,5,2.14
1921-06,1921,6,4.06
1921-07,1921,7,1.96
1921-08,1921,8,6.08
1921-09,1921,9,3.55
1921-10,1921,10,0.68
1921-11,1921,11,8.45
1921-12,1921,12,2.78
1922-01,1922,1,2.61
1922-02,1922,2,3.59
1922-03,1922,3,8.58
1922-04,1922,4,4.22
1922-05,1922,5,4.72
1922-06,1922,6,2.03
1922-07,1922,7,3.64
1922-08,1922,8,1.83
1922-09,1922,9,1.05
1922-10,1922,10,1.78
1922-11,1922,11,3.6
1922-12,1922,12,5.53
1923-01,1923,1,4.94
1923-02,1923,2,4.27
1923-03,1923,3,5.82
1923-04,1923,4,6.24
1923-05,1923,5,9.52
1923-06,1923,6,5.6
1923-07,1923,7,3.42
1923-08,1923,8,3.61
1923-09,1923,9,3.73
1923-10,1923,10,2.97
1923-11,1923,11,2.97
1923-12,1923,12,5.35
1924-01,1924,1,2.67
1924-02,1924,2,1.91
1924-03,1924,3,2.53
1924-04,1924,4,5.23
1924-05,1924,5,4.32
1924-06,1924,6,5.31
1924-07,1924,7,3.12
1924-08,1924,8,3.81
1924-09,1924,9,3.27
1924-10,1924,10,0.14
1924-11,1924,11,1.92
1924-12,1924,12,3.4
1925-01,1925,1,1.62
1925-02,1925,2,3.31
1925-03,1925,3,1.95
1925-04,1925,4,2.81
1925-05,1925,5,0.8
1925-06,1925,6,2.13
1925-07,1925,7,4.28
1925-08,1925,8,2.1
1925-09,1925,9,11.2
1925-10,1925,10,11.01
1925-11,1925,11,4.37
1925-12,1925,12,1.67
1926-01,1926,1,3.97
1926-02,1926,2,2.46
1926-03,1926,3,5.46
1926-04,1926,4,3.28
1926-05,1926,5,1.78
1926-06,1926,6,1.55
1926-07,1926,7,3.15
1926-08,1926,8,7.65
1926-09,1926,9,6.25
1926-10,1926,10,7.3
1926-11,1926,11,4.29
1926-12,1926,12,6.47
1927-01,1927,1,7.13
1927-02,1927,2,1.77
1927-03,1927,3,7.89
1927-04,1927,4,12.81
1927-05,1927,5,7.94
1927-06,1927,6,5.76
1927-07,1927,7,3.87
1927-08,1927,8,7.11
1927-09,1927,9,3.34
1927-10,1927,10,3.04
1927-11,1927,11,3.68
1927-12,1927,12,4.68
1928-01,1928,1,3.32
1928-02,1928,2,1.87
1928-03,1928,3,1.97
1928-04,1928,4,10.74
1928-05,1928,5,3.98
1928-06,1928,6,10.4
1928-07,1928,7,2.53
1928-08,1928,8,5.05
1928-09,1928,9,0.57
1928-10,1928,10,4.44
1928-11,1928,11,5.57
1928-12,1928,12,4.18
1929-01,1929,1,5.57
1929-02,1929,2,4.52
1929-03,1929,3,4.81
1929-04,1929,4,6.03
1929-05,1929,5,6.91
1929-06,1929,6,4.46
1929-07,1929,7,3
1929-08,1929,8,1.04
1929-09,1929,9,1.8
1929-10,1929,10,5.01
1929-11,1929,11,2.88
1929-12,1929,12,4.09
1930-01,1930,1,8.56
1930-02,1930,2,4.3
1930-03,1930,3,1.8
1930-04,1930,4,1.69
1930-05,1930,5,8.06
1930-06,1930,6,0.5
1930-07,1930,7,0.55
1930-08,1930,8,4.13
1930-09,1930,9,3.94
1930-10,1930,10,6.75
1930-11,1930,11,4.96
1930-12,1930,12,1.53
1931-01,1931,1,0.85
1931-02,1931,2,5.45
1931-03,1931,3,4.13
1931-04,1931,4,3.03
1931-05,1931,5,4.13
1931-06,1931,6,2.22
1931-07,1931,7,4.77
1931-08,1931,8,6.22
1931-09,1931,9,1.23
1931-10,1931,10,1.96
1931-11,1931,11,6.93
1931-12,1931,12,6.31
1932-01,1932,1,8.79
1932-02,1932,2,4.18
1932-03,1932,3,3.81
1932-04,1932,4,2.63
1932-05,1932,5,2.63
1932-06,1932,6,5.1
1932-07,1932,7,5.08
1932-08,1932,8,1.77
1932-09,1932,9,2.7
1932-10,1932,10,4.77
1932-11,1932,11,1.51
1932-12,1932,12,8.24
1933-01,1933,1,4.31
1933-02,1933,2,2.6
1933-03,1933,3,4.67
1933-04,1933,4,4.7
1933-05,1933,5,7.06
1933-06,1933,6,1.07
1933-07,1933,7,3.12
1933-08,1933,8,4.16
1933-09,1933,9,6.85
1933-10,1933,10,2.41
1933-11,1933,11,2.17
1933-12,1933,12,4.23
1934-01,1934,1,2.89
1934-02,1934,2,1.59
1934-03,1934,3,6.7
1934-04,1934,4,4.81
1934-05,1934,5,2.37
1934-06,1934,6,3.02
1934-07,1934,7,1.2
1934-08,1934,8,2.71
1934-09,1934,9,6.32
1934-10,1934,10,0.97
1934-11,1934,11,5.59
1934-12,1934,12,3.32
1935-01,1935,1,4.89
1935-02,1935,2,2.06
1935-03,1935,3,11.86
1935-04,1935,4,3.72
1935-05,1935,5,11.17
1935-06,1935,6,8.8
1935-07,1935,7,3.2
1935-08,1935,8,1.5
1935-09,1935,9,2.91
1935-10,1935,10,6.65
1935-11,1935,11,3.4
1935-12,1935,12,4.25
1936-01,1936,1,0.68
1936-02,1936,2,2.01
1936-03,1936,3,2.03
1936-04,1936,4,2.95
1936-05,1936,5,1.45
1936-06,1936,6,1.05
1936-07,1936,7,4
1936-08,1936,8,0.21
1936-09,1936,9,7.21
1936-10,1936,10,5.39
1936-11,1936,11,2.19
1936-12,1936,12,5.56
1937-01,1937,1,11.54
1937-02,1937,2,1.89
1937-03,1937,3,2.82
1937-04,1937,4,3.41
1937-05,1937,5,4.15
1937-06,1937,6,4.4
1937-07,1937,7,3.62
1937-08,1937,8,3.53
1937-09,1937,9,3.92
1937-10,1937,10,4.91
1937-11,1937,11,4.21
1937-12,1937,12,3.53
1938-01,1938,1,5.36
1938-02,1938,2,7.13
1938-03,1938,3,5.74
1938-04,1938,4,4.86
1938-05,1938,5,4.92
1938-06,1938,6,3.79
1938-07,1938,7,5.63
1938-08,1938,8,2.2
1938-09,1938,9,1.3
1938-10,1938,10,1.25
1938-11,1938,11,7.49
1938-12,1938,12,2.45
1939-01,1939,1,5.69
1939-02,1939,2,7.79
1939-03,1939,3,3.72
1939-04,1939,4,8.47
1939-05,1939,5,5.51
1939-06,1939,6,3.97
1939-07,1939,7,4.51
1939-08,1939,8,2.93
1939-09,1939,9,1.67
1939-10,1939,10,1.85
1939-11,1939,11,2.6
1939-12,1939,12,2.06
1940-01,1940,1,1.68
1940-02,1940,2,2.28
1940-03,1940,3,1.86
1940-04,1940,4,7.47
1940-05,1940,5,2.1
1940-06,1940,6,3.77
1940-07,1940,7,3.17
1940-08,1940,8,5.58
1940-09,1940,9,1.95
1940-10,1940,10,1.98
1940-11,1940,11,6.63
1940-12,1940,12,2.92
1941-01,1941,1,3.38
1941-02,1941,2,2.54
1941-03,1941,3,1.05
1941-04,1941,4,4.68
1941-05,1941,5,2.17
1941-06,1941,6,3.65
1941-07,1941,7,5.37
1941-08,1941,8,3.5
1941-09,1941,9,5.29
1941-10,1941,10,11.52
1941-11,1941,11,2.25
1941-12,1941,12,3.88
1942-01,1942,1,4.1
1942-02,1942,2,3.53
1942-03,1942,3,3.83
1942-04,1942,4,10.35
1942-05,1942,5,4.39
1942-06,1942,6,3.58
1942-07,1942,7,1.49
1942-08,1942,8,7.11
1942-09,1942,9,4.04
1942-10,1942,10,2.69
1942-11,1942,11,4.8
1942-12,1942,12,5.32
1943-01,1943,1,0.45
1943-02,1943,2,0.92
1943-03,1943,3,4.78
1943-04,1943,4,3.34
1943-05,1943,5,9.43
1943-06,1943,6,3.14
1943-07,1943,7,1
1943-08,1943,8,1.55
1943-09,1943,9,2.05
1943-10,1943,10,3.96
1943-11,1943,11,0.56
1943-12,1943,12,3.35
1944-01,1944,1,1.67
1944-02,1944,2,7.98
1944-03,1944,3,5.3
1944-04,1944,4,9.74
1944-05,1944,5,6.17
1944-06,1944,6,3.26
1944-07,1944,7,3.27
1944-08,1944,8,4.63
1944-09,1944,9,1.58
1944-10,1944,10,1.44
1944-11,1944,11,5.35
1944-12,1944,12,6.82
1945-01,1945,1,1.99
1945-02,1945,2,8.5
1945-03,1945,3,12.59
1945-04,1945,4,8.7
1945-05,1945,5,4.84
1945-06,1945,6,12.41
1945-07,1945,7,3.45
1945-08,1945,8,2.85
1945-09,1945,9,8.63
1945-10,1945,10,1.86
1945-11,1945,11,3.98
1945-12,1945,12,1.56
1946-01,1946,1,6.72
1946-02,1946,2,5.37
1946-03,1946,3,5.57
1946-04,1946,4,7.5
1946-05,1946,5,10.72
1946-06,1946,6,2.67
1946-07,1946,7,4.06
1946-08,1946,8,1.69
1946-09,1946,9,1.29
1946-10,1946,10,2.63
1946-11,1946,11,8.64
1946-12,1946,12,4.94
1947-01,1947,1,1.91
1947-02,1947,2,0.6
1947-03,1947,3,1.96
1947-04,1947,4,4.77
1947-05,1947,5,4.88
1947-06,1947,6,3.7
1947-07,1947,7,1.43
1947-08,1947,8,0.93
1947-09,1947,9,4.27
1947-10,1947,10,3.74
1947-11,1947,11,6.06
1947-12,1947,12,5.87
1948-01,1948,1,3.5
1948-02,1948,2,7.31
1948-03,1948,3,4.4
1948-04,1948,4,3.67
1948-05,1948,5,4.41
1948-06,1948,6,5.87
1948-07,1948,7,3.86
1948-08,1948,8,4.34
1948-09,1948,9,0.57
1948-10,1948,10,3
1948-11,1948,11,5.06
1948-12,1948,12,5.63
1949-01,1949,1,11.99
1949-02,1949,2,4.81
1949-03,1949,3,5.94
1949-04,1949,4,1.49
1949-05,1949,5,5.39
1949-06,1949,6,5.01
1949-07,1949,7,4.28
1949-08,1949,8,2.65
1949-09,1949,9,3.52
1949-10,1949,10,11.46
1949-11,1949,11,0.28
1949-12,1949,12,5.99
1950-01,1950,1,11.77
1950-02,1950,2,5.12
1950-03,1950,3,3.36
1950-04,1950,4,2.52
1950-05,1950,5,7.27
1950-06,1950,6,5.15
1950-07,1950,7,5.58
1950-08,1950,8,10.05
1950-09,1950,9,3.47
1950-10,1950,10,2.46
1950-11,1950,11,2.46
1950-12,1950,12,0.77
1951-01,1951,1,5.03
1951-02,1951,2,5.76
1951-03,1951,3,2.46
1951-04,1951,4,4.36
1951-05,1951,5,1.99
1951-06,1951,6,6.93
1951-07,1951,7,5.38
1951-08,1951,8,4.57
1951-09,1951,9,4.27
1951-10,1951,10,5.34
1951-11,1951,11,6.26
1951-12,1951,12,3.36
1952-01,1952,1,4.82
1952-02,1952,2,2.93
1952-03,1952,3,6.58
1952-04,1952,4,7.31
1952-05,1952,5,4.14
1952-06,1952,6,0.28
1952-07,1952,7,2.78
1952-08,1952,8,4.1
1952-09,1952,9,2.01
1952-10,1952,10,1.48
1952-11,1952,11,9.27
1952-12,1952,12,4.41
1953-01,1953,1,4.87
1953-02,1953,2,2.1
1953-03,1953,3,8.9
1953-04,1953,4,7.01
1953-05,1953,5,5.28
1953-06,1953,6,0.38
1953-07,1953,7,3.86
1953-08,1953,8,2.03
1953-09,1953,9,0.71
1953-10,1953,10,1.46
1953-11,1953,11,1.79
1953-12,1953,12,2.17
1954-01,1954,1,5.88
1954-02,1954,2,2.5
1954-03,1954,3,2.22
1954-04,1954,4,2.92
1954-05,1954,5,5.62
1954-06,1954,6,1.17
1954-07,1954,7,1.65
1954-08,1954,8,1.93
1954-09,1954,9,2.16
1954-10,1954,10,3.69
1954-11,1954,11,0.92
1954-12,1954,12,5.29
1955-01,1955,1,1.09
1955-02,1955,2,5.01
1955-03,1955,3,5.85
1955-04,1955,4,4.75
1955-05,1955,5,6.9
1955-06,1955,6,5.38
1955-07,1955,7,4.23
1955-08,1955,8,1.72
1955-09,1955,9,3.86
1955-10,1955,10,2.19
1955-11,1955,11,1.98
1955-12,1955,12,0.67
1956-01,1956,1,2.92
1956-02,1956,2,9.91
1956-03,1956,3,1.72
1956-04,1956,4,3.88
1956-05,1956,5,2.99
1956-06,1956,6,4.46
1956-07,1956,7,4.31
1956-08,1956,8,2.46
1956-09,1956,9,0.69
1956-10,1956,10,2.64
1956-11,1956,11,3.22
1956-12,1956,12,3.28
1957-01,1957,1,6.51
1957-02,1957,2,5.49
1957-03,1957,3,3.58
1957-04,1957,4,14.14
1957-05,1957,5,9.32
1957-06,1957,6,6.49
1957-07,1957,7,4.66
1957-08,1957,8,8.62
1957-09,1957,9,4.4
1957-10,1957,10,3.48
1957-11,1957,11,8.19
1957-12,1957,12,2.49
1958-01,1958,1,2.86
1958-02,1958,2,1.7
1958-03,1958,3,6.95
1958-04,1958,4,5.25
1958-05,1958,5,6.46
1958-06,1958,6,5.65
1958-07,1958,7,5.68
1958-08,1958,8,2.85
1958-09,1958,9,5.78
1958-10,1958,10,1.31
1958-11,1958,11,8.3
1958-12,1958,12,1
1959-01,1959,1,2.05
1959-02,1959,2,3.67
1959-03,1959,3,4.82
1959-04,1959,4,3.03
1959-05,1959,5,3.14
1959-06,1959,6,6.31
1959-07,1959,7,7.17
1959-08,1959,8,3.37
1959-09,1959,9,6.11
1959-10,1959,10,3.32
1959-11,1959,11,3.55
1959-12,1959,12,6.51
1960-01,1960,1,3.08
1960-02,1960,2,3.13
1960-03,1960,3,2.81
1960-04,1960,4,1.62
1960-05,1960,5,7.93
1960-06,1960,6,5.94
1960-07,1960,7,4.03
1960-08,1960,8,2.24
1960-09,1960,9,4.17
1960-10,1960,10,2.47
1960-11,1960,11,3.64
1960-12,1960,12,4.66
1961-01,1961,1,1.25
1961-02,1961,2,4.05
1961-03,1961,3,9.86
1961-04,1961,4,3.78
1961-05,1961,5,10.4
1961-06,1961,6,3.37
1961-07,1961,7,6.68
1961-08,1961,8,4.24
1961-09,1961,9,1.79
1961-10,1961,10,0.95
1961-11,1961,11,5.85
1961-12,1961,12,4.18
1962-01,1962,1,3.85
1962-02,1962,2,5.91
1962-03,1962,3,4.71
1962-04,1962,4,2.21
1962-05,1962,5,1.4
1962-06,1962,6,4.69
1962-07,1962,7,5.65
1962-08,1962,8,3.62
1962-09,1962,9,5.99
1962-10,1962,10,5.75
1962-11,1962,11,1.62
1962-12,1962,12,1.84
1963-01,1963,1,0.57
1963-02,1963,2,0.78
1963-03,1963,3,5.14
1963-04,1963,4,2.48
1963-05,1963,5,4.86
1963-06,1963,6,3.63
1963-07,1963,7,3.96
1963-08,1963,8,1.7
1963-09,1963,9,1.71
1963-10,1963,10,0.61
1963-11,1963,11,6.36
1963-12,1963,12,2
1964-01,1964,1,0.59
1964-02,1964,2,3.2
1964-03,1964,3,8.9
1964-04,1964,4,6.22
1964-05,1964,5,4.37
1964-06,1964,6,1.33
1964-07,1964,7,3.09
1964-08,1964,8,6.64
1964-09,1964,9,6.51
1964-10,1964,10,0.54
1964-11,1964,11,5
1964-12,1964,12,2.05
1965-01,1965,1,3.87
1965-02,1965,2,4.54
1965-03,1965,3,5.08
1965-04,1965,4,3.34
1965-05,1965,5,5.77
1965-06,1965,6,4.13
1965-07,1965,7,4.25
1965-08,1965,8,3.38
1965-09,1965,9,8.81
1965-10,1965,10,0.18
1965-11,1965,11,1.91
1965-12,1965,12,2.64
1966-01,1966,1,4.84
1966-02,1966,2,4.73
1966-03,1966,3,1.18
1966-04,1966,4,8.32
1966-05,1966,5,3.4
1966-06,1966,6,0.53
1966-07,1966,7,3.99
1966-08,1966,8,4.94
1966-09,1966,9,1.44
1966-10,1966,10,2.53
1966-11,1966,11,2.05
1966-12,1966,12,4.32
1967-01,1967,1,1.33
1967-02,1967,2,1.81
1967-03,1967,3,2.67
1967-04,1967,4,5.4
1967-05,1967,5,5.29
1967-06,1967,6,4.36
1967-07,1967,7,6.26
1967-08,1967,8,3.95
1967-09,1967,9,5.06
1967-10,1967,10,6.11
1967-11,1967,11,1.9
1967-12,1967,12,7.7
1968-01,1968,1,3.17
1968-02,1968,2,1.37
1968-03,1968,3,6.54
1968-04,1968,4,4.56
1968-05,1968,5,8.89
1968-06,1968,6,3.49
1968-07,1968,7,2.49
1968-08,1968,8,3.55
1968-09,1968,9,7.1
1968-10,1968,10,2.22
1968-11,1968,11,4.98
1968-12,1968,12,7.65
1969-01,1969,1,7
1969-02,1969,2,3.09
1969-03,1969,3,3.7
1969-04,1969,4,4.06
1969-05,1969,5,2.09
1969-06,1969,6,3.53
1969-07,1969,7,2.76
1969-08,1969,8,1.32
1969-09,1969,9,2.03
1969-10,1969,10,6.16
1969-11,1969,11,3.28
1969-12,1969,12,5.38
1970-01,1970,1,1.08
1970-02,1970,2,2.16
1970-03,1970,3,4.94
1970-04,1970,4,7.96
1970-05,1970,5,3.82
1970-06,1970,6,6.07
1970-07,1970,7,3.98
1970-08,1970,8,6.17
1970-09,1970,9,7.57
1970-10,1970,10,8.84
1970-11,1970,11,2.68
1970-12,1970,12,3.42
1971-01,1971,1,2.82
1971-02,1971,2,3.41
1971-03,1971,3,2.32
1971-04,1971,4,2.48
1971-05,1971,5,4.68
1971-06,1971,6,1.73
1971-07,1971,7,5.81
1971-08,1971,8,3.66
1971-09,1971,9,1.56
1971-10,1971,10,1.76
1971-11,1971,11,3.05
1971-12,1971,12,10.2
1972-01,1972,1,1.43
1972-02,1972,2,1.2
1972-03,1972,3,2.29
1972-04,1972,4,5.83
1972-05,1972,5,3.89
1972-06,1972,6,3.35
1972-07,1972,7,3.83
1972-08,1972,8,2.06
1972-09,1972,9,5.53
1972-10,1972,10,6.33
1972-11,1972,11,7.86
1972-12,1972,12,5.77
1973-01,1973,1,4.54
1973-02,1973,2,3.28
1973-03,1973,3,9.84
1973-04,1973,4,10.83
1973-05,1973,5,6.65
1973-06,1973,6,4.15
1973-07,1973,7,3.1
1973-08,1973,8,1.4
1973-09,1973,9,6.68
1973-10,1973,10,7.64
1973-11,1973,11,7.82
1973-12,1973,12,5.74
1974-01,1974,1,3.49
1974-02,1974,2,3.06
1974-03,1974,3,2.82
1974-04,1974,4,5.53
1974-05,1974,5,5.12
1974-06,1974,6,6.55
1974-07,1974,7,2.69
1974-08,1974,8,3.22
1974-09,1974,9,5.4
1974-10,1974,10,3.85
1974-11,1974,11,7.8
1974-12,1974,12,2
1975-01,1975,1,2.82
1975-02,1975,2,4.66
1975-03,1975,3,10.69
1975-04,1975,4,2.54
1975-05,1975,5,5.31
1975-06,1975,6,3.48
1975-07,1975,7,2.98
1975-08,1975,8,4.89
1975-09,1975,9,4.75
1975-10,1975,10,1.55
1975-11,1975,11,2.86
1975-12,1975,12,4.29
1976-01,1976,1,2.17
1976-02,1976,2,3.1
1976-03,1976,3,4.86
1976-04,1976,4,2.18
1976-05,1976,5,6.23
1976-06,1976,6,6.96
1976-07,1976,7,1.84
1976-08,1976,8,1.43
1976-09,1976,9,2.2
1976-10,1976,10,6.22
1976-11,1976,11,1.23
1976-12,1976,12,2.08
1977-01,1977,1,2.24
1977-02,1977,2,2.54
1977-03,1977,3,9.27
1977-04,1977,4,2.98
1977-05,1977,5,1.84
1977-06,1977,6,3.69
1977-07,1977,7,5.57
1977-08,1977,8,5.7
1977-09,1977,9,8.77
1977-10,1977,10,1.26
1977-11,1977,11,8.32
1977-12,1977,12,3.21
1978-01,1978,1,3.45
1978-02,1978,2,2.27
1978-03,1978,3,5.02
1978-04,1978,4,2.78
1978-05,1978,5,7.98
1978-06,1978,6,3.1
1978-07,1978,7,2.91
1978-08,1978,8,4.46
1978-09,1978,9,4.76
1978-10,1978,10,1.85
1978-11,1978,11,7.89
1978-12,1978,12,5.39
1979-01,1979,1,3.09
1979-02,1979,2,6.63
1979-03,1979,3,7.26
1979-04,1979,4,7.95
1979-05,1979,5,10.28
1979-06,1979,6,5.37
1979-07,1979,7,4.9
1979-08,1979,8,4.65
1979-09,1979,9,3.31
1979-10,1979,10,3.06
1979-11,1979,11,3.19
1979-12,1979,12,3.48
1980-01,1980,1,1.18
1980-02,1980,2,0.96
1980-03,1980,3,4.13
1980-04,1980,4,4.84
1980-05,1980,5,5.39
1980-06,1980,6,3.54
1980-07,1980,7,0.8
1980-08,1980,8,1.17
1980-09,1980,9,5.26
1980-10,1980,10,3.68
1980-11,1980,11,2.74
1980-12,1980,12,1.56
1981-01,1981,1,0.64
1981-02,1981,2,5.01
1981-03,1981,3,4.75
1981-04,1981,4,2.29
1981-05,1981,5,5.59
1981-06,1981,6,5.1
1981-07,1981,7,4.09
1981-08,1981,8,4.55
1981-09,1981,9,0.37
1981-10,1981,10,4.79
1981-11,1981,11,2.27
1981-12,1981,12,0.9
1982-01,1982,1,7.72
1982-02,1982,2,2.15
1982-03,1982,3,2.4
1982-04,1982,4,4.81
1982-05,1982,5,3.42
1982-06,1982,6,6.13
1982-07,1982,7,2.09
1982-08,1982,8,3.06
1982-09,1982,9,0.72
1982-10,1982,10,2.93
1982-11,1982,11,9.35
1982-12,1982,12,17.35
1983-01,1983,1,0.52
1983-02,1983,2,1.74
1983-03,1983,3,3.15
1983-04,1983,4,6.76
